date,ural_price
26.03.2021,62.35
25.03.2021,59.89
24.03.2021,62.16
23.03.2021,60.21
22.03.2021,62.29
19.03.2021,62.09
18.03.2021,63.33
17.03.2021,65.64
16.03.2021,66.05
15.03.2021,66.91
12.03.2021,67.61
11.03.2021,67.9
10.03.2021,65.45
09.03.2021,65.86
08.03.2021,67.4
05.03.2021,68.07
04.03.2021,66.43
03.03.2021,63.44
02.03.2021,62.69
01.03.2021,64.55
26.02.2021,64.92
25.02.2021,66
24.02.2021,65.56
23.02.2021,64.03
22.02.2021,62.95
19.02.2021,62.5
18.02.2021,63.56
17.02.2021,63.36
16.02.2021,62.56
15.02.2021,62.95
12.02.2021,60.86
11.02.2021,60.78
10.02.2021,60.64
09.02.2021,59.76
08.02.2021,59.68
05.02.2021,59.7
04.02.2021,58.65
03.02.2021,58.71
02.02.2021,57.91
01.02.2021,56.45
29.01.2021,55.81
28.01.2021,55.52
27.01.2021,56.09
26.01.2021,55.76
25.01.2021,55.03
22.01.2021,55.21
21.01.2021,55.67
20.01.2021,56.08
19.01.2021,55.63
18.01.2021,54.6
15.01.2021,54.73
14.01.2021,55.16
13.01.2021,55.9
12.01.2021,56.09
11.01.2021,54.95
08.01.2021,55.12
07.01.2021,54.08
06.01.2021,54.36
05.01.2021,52.66
04.01.2021,50.37
01.01.2021,50.97
31.12.2020,50.97
30.12.2020,50.64
29.12.2020,50.81
25.12.2020,50.69
24.12.2020,50.69
23.12.2020,51.36
22.12.2020,50.3
21.12.2020,50.02
18.12.2020,52.2
17.12.2020,51.25
16.12.2020,50.57
15.12.2020,50.92
14.12.2020,49.68
11.12.2020,50.19
10.12.2020,51.1
09.12.2020,48.84
08.12.2020,49.01
07.12.2020,49.05
04.12.2020,49.88
03.12.2020,49.13
02.12.2020,48.7
01.12.2020,47.91
30.11.2020,46.92
27.11.2020,47.59
26.11.2020,47.17
25.11.2020,47.63
24.11.2020,47.48
23.11.2020,45.55
20.11.2020,44.06
19.11.2020,43.64
18.11.2020,43.81
17.11.2020,42.86
16.11.2020,43.8
13.11.2020,42.51
12.11.2020,43.39
11.11.2020,43.91
10.11.2020,42.5
09.11.2020,42
06.11.2020,39.13
05.11.2020,40.25
04.11.2020,39.94
03.11.2020,38.79
02.11.2020,37.24
30.10.2020,37.12
29.10.2020,36.98
28.10.2020,38.69
27.10.2020,40.58
26.10.2020,39.84
23.10.2020,41.41
22.10.2020,41.68
21.10.2020,40.27
20.10.2020,40.99
19.10.2020,41.77
16.10.2020,41.53
15.10.2020,41.02
14.10.2020,41.7
13.10.2020,41.39
12.10.2020,40.55
09.10.2020,41.98
08.10.2020,41.61
07.10.2020,40.25
06.10.2020,41.01
05.10.2020,39.92
02.10.2020,38.8
01.10.2020,39.44
